Coin,quote_currency,cryptopair
LMWR,USD,LMWRUSD
ELS,EUSD,ELSEUSD
NAVX,USD,NAVXUSD
XAH,USD,XAHUSD
MIN,IUSD,MINIUSD
PHB,USD,PHBUSD
FCT2,USD,FCT2USD
RDNT,USD,RDNTUSD
WEN,2USD,WEN2USD
UFD,USD,UFDUSD
OFT,USD,OFTUSD
SAUCE,USD,SAUCEUSD
MOC,USD,MOCUSD
DNT,USD,DNTUSD
ETN,USD,ETNUSD
ELX,EUSD,ELXEUSD
GRS,USD,GRSUSD
IXS,USD,IXSUSD
ELYS,SNUSD,ELYSSNUSD
OHO,USD,OHOUSD
AQT,USD,AQTUSD
RZR,RUSD,RZRRUSD
OBT,USD,OBTUSD
TLOS,USD,TLOSUSD
PSTAKE,USD,PSTAKEUSD
BMT,BUSD,BMTBUSD
SD,USD,SDUSD
PURPE,USD,PURPEUSD
TPT,USD,TPTUSD
UQC,USD,UQCUSD
MCADE,USD,MCADEUSD
WOJAK,USD,WOJAKUSD
TLM,USD,TLMUSD
EMC,EDUSD,EMCEDUSD
BANK,USD,BANKUSD
EMT,EAUSD,EMTEAUSD
APEX,USD,APEXUSD
WXT,USD,WXTUSD
DAO,USD,DAOUSD
HOOK,USD,HOOKUSD
EPIC,CUSD,EPICCUSD
MAPO,USD,MAPOUSD
BERT,RUSD,BERTRUSD
NATIX,USD,NATIXUSD
SPA,USD,SPAUSD
CLANKER,USD,CLANKERUSD
GNUS,USD,GNUSUSD
ZON,USD,ZONUSD
LAT,USD,LATUSD
JELLYJELLY,USD,JELLYJELLYUSD
BOBO,2USD,BOBO2USD
MBOX,USD,MBOXUSD
GST,GUSD,GSTGUSD
DBR,DUSD,DBRDUSD
OL,USD,OLUSD
ATA,USD,ATAUSD
ZCX,USD,ZCXUSD
BBA,USD,BBAUSD
STRX,USD,STRXUSD
ALCX,USD,ALCXUSD
EMT,EMUSD,EMTEMUSD
AHT,USD,AHTUSD
YUSD,AUSD,YUSDAUSD
KENDU,USD,KENDUUSD
BROCCOLI,USD,BROCCOLIUSD
CAM,USD,CAMUSD
THE,USD,THEUSD
SANTOS,USD,SANTOSUSD
MLN,USD,MLNUSD
SWEAT,USD,SWEATUSD
ADS,USD,ADSUSD
HAEDAL,USD,HAEDALUSD
TKO,USD,TKOUSD
RBNT,USD,RBNTUSD
AGRS,USD,AGRSUSD
HEGIC,USD,HEGICUSD
OGY,USD,OGYUSD
BOUNTY,USD,BOUNTYUSD
DEXT,USD,DEXTUSD
NRN,USD,NRNUSD
UOS,USD,UOSUSD
HIPPO,SUSD,HIPPOSUSD
ALU,USD,ALUUSD
